x,y,kind,orientation_rad,branch_angles_rad,branch_lengths_px,coherence,roi_distance_px,quality_proxy
103,97,ending,6.07568908,[6.07568908],[18],0.78363240,55.9783,0.88099782
131,101,ending,0.14888995,[0.14888995],[18],0.78584218,78.4000,0.88221320
150,117,ending,0.23109067,[0.23109067],[18],0.78988928,85.6791,0.88443910
181,122,ending,0.86630226,[0.86630226],[18],0.77388620,61.9225,0.87563741
205,137,ending,3.89842716,[3.89842716],[18],0.79793710,48.9349,0.88886540
164,139,ending,0.86630226,[0.86630226],[18],0.74718904,84.6884,0.86095397
206,157,bifurcation,1.08631840,"[1.0863184, 1.52321322, 4.17196948]","[18, 18, 18]",0.79221845,59.7907,0.88572015
247,162,ending,4.26796977,[4.26796977],[18],0.72502190,39.3473,0.84876204
131,167,ending,1.23412151,[1.23412151],[18],0.55366766,117.0388,0.75451722
98,174,ending,4.94347965,[4.94347965],[18],0.78536391,94.5535,0.88195015
176,180,ending,1.76819189,[1.76819189],[18],0.77985078,97.5690,0.87891793
46,188,ending,1.62075472,[1.62075472],[18],0.78550303,70.9039,0.88202667
20,190,ending,5.04906380,[5.0490638],[18],0.80683553,66.5597,0.89375954
82,190,ending,4.71238898,[4.71238898],[18],0.77909273,93.3907,0.87850100
204,191,ending,1.67046498,[1.67046498],[18],0.82470280,86.1535,0.90358654
108,193,ending,1.26491746,[1.26491746],[18],0.82544762,113.9815,0.90399619
172,200,bifurcation,2.01690188,"[2.01690188, 4.5472403, 4.90978454]","[18, 18, 15]",0.73501313,113.4001,0.77925722
154,212,ending,4.80734069,[4.80734069],[18],0.40913790,134.4001,0.67502585
129,240,ending,3.92699082,[3.92699082],[18],0.70139968,126.7101,0.83576983
213,241,ending,1.82812004,[1.82812004],[17],0.80157995,79.9287,0.86586897
152,247,ending,5.75146124,[5.75146124],[18],0.76101881,118.9132,0.86856035
28,259,ending,1.32581766,[1.32581766],[18],0.66483146,46.1349,0.81565730
103,260,ending,0.42285393,[0.42285393],[18],0.81287307,93.9287,0.89708019
55,261,ending,4.39063843,[4.39063843],[18],0.71315646,57.9814,0.84223605
200,263,ending,2.35619449,[2.35619449],[18],0.64301282,71.4000,0.80365705
233,266,ending,4.75997208,[4.75997208],[18],0.77383733,47.9442,0.87561053
152,269,ending,6.08578975,[6.08578975],[18],0.70789808,105.8605,0.83934394
171,284,ending,5.79870738,[5.79870738],[18],0.74361378,81.8884,0.85898758
121,285,ending,0.19739556,[0.19739556],[18],0.83908767,91.7970,0.91149822
77,308,ending,3.71796787,[3.71796787],[18],0.79249138,44.1969,0.88587026
183,309,ending,0.48447793,[0.48447793],[18],0.74263996,57.5287,0.85845198
94,319,ending,3.47826747,[3.47826747],[18],0.72883773,49.0000,0.85086075
134,334,ending,3.28348971,[3.28348971],[18],0.74044728,53.1783,0.85724601
